cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
4,13,14,60,59.27307415008545,226.56155754628833,33152.16948296526,90.82345146472505,0.0,0.0,2.433333333333333,0.03333333333333333,5.126756682281621,4
4,14,15,60,59.15849709510803,173.5000127454008,42734.06398299212,95.44531039534193,0.0,0.0,2.033333333333333,0.0,5.489115458804077,6
4,15,16,60,59.1613187789917,238.2299835581895,32262.516106685922,87.79274176371993,0.0,0.0,2.716666666666667,0.0,3.9873243317718376,2
4,16,17,59,58.15830397605896,193.57510845973758,39857.26614301243,90.25279884164715,0.0,0.0,2.5084745762711864,0.0847457627118644,9.117233584449187,5
4,17,18,60,59.16203737258911,213.78574102081308,15073.703334178677,87.19263854406357,0.0,0.0,2.966666666666667,0.0,12.816202810691651,3
4,18,19,60,59.159573793411255,246.99298968964806,5369.900079222358,79.04625423056987,0.0,0.0,2.35,0.0,5.2342243042160375,5
4,19,20,60,59.159658908843994,277.3173527805348,14524.576643080421,83.16104523253206,0.0,0.0,2.8333333333333335,0.0,4.027739505832644,3
4,20,21,60,59.16208243370056,292.92410420848023,10214.836515892386,91.73780593747466,0.0,0.0,2.683333333333333,0.0,4.038302562689444,4
4,21,22,60,59.16296601295471,236.46549425761813,27933.82602958285,89.96828231092734,0.0,0.0,2.4833333333333334,0.016666666666666666,5.49646367226968,5
4,22,23,59,58.15617895126343,245.51131552101077,19718.145529488702,85.11965626581559,0.0,0.0,2.457627118644068,0.01694915254237288,2.339440757364171,4
4,23,24,60,59.160362005233765,265.9212936967531,57784.29820455748,96.87223200547602,0.0,0.0,2.95,0.0,5.718287866262515,2
4,24,25,60,59.157753705978394,320.12709769414647,14618.523284338376,87.30814906122694,0.0,0.0,3.15,0.0,3.226324974740516,4
4,25,26,60,59.16203737258911,255.06220999399662,25852.82840020396,81.70575260502497,0.0,0.0,2.7,0.016666666666666666,6.457701846238634,4
4,26,27,60,59.16661739349365,227.6283585797999,55494.620863031916,95.05492400885373,0.0,0.0,3.1666666666666665,0.016666666666666666,9.45026178010471,1
4,27,28,60,59.15546369552612,208.99168441367493,64010.06371092605,97.5772041614775,0.0,0.0,2.6,0.016666666666666666,13.240562138330118,3
4,28,29,59,58.15739417076111,183.65678435726613,28599.49321519322,91.69771123686489,0.0,0.0,2.3220338983050848,0.01694915254237288,10.163419908365286,5
4,29,30,60,59.15901589393616,227.92806466177407,41914.60866160493,95.09258914808926,0.0,0.0,2.9,0.0,10.975475337558557,2
8,0,1,60,59.16077709197998,367.6760358671619,65030.26479889738,95.19050145285934,0.0,0.0,5.933333333333334,0.0,12.36061357582438,4
8,1,2,60,59.1481831073761,289.324187167905,77648.28535244151,93.3696689060108,0.0,0.0,4.783333333333333,0.05,10.383484890236062,11
8,2,3,60,59.15282845497131,302.74122924877616,58104.102369616216,93.06175038526236,0.0,0.0,5.533333333333333,0.06666666666666667,8.476164232570957,4
8,3,4,60,59.16288661956787,339.6386002800951,55693.61449835334,92.36903676706413,0.0,0.0,5.633333333333334,0.03333333333333333,9.75475337558556,7
8,4,5,59,58.152101278305054,378.4901923778174,37304.61930546475,90.43763533889108,0.0,0.0,5.779661016949152,0.01694915254237288,9.330674276426713,5
8,5,6,60,59.154130935668945,338.6407624141265,49711.13519016905,91.90191189235405,0.0,0.0,5.166666666666667,0.016666666666666666,9.036924772664644,5
8,6,7,60,59.15690588951111,358.03089565837735,88178.49618001902,95.62290005495645,0.0,0.0,6.616666666666666,0.0,15.25580968127124,3
8,7,8,60,59.15721392631531,331.94599097346503,90252.47549098959,95.66242411414747,0.0,0.0,6.216666666666667,0.016666666666666666,16.631762652705063,5
8,8,9,60,59.16385102272034,352.63086562752835,64771.10488511606,93.84075685632735,0.0,0.0,6.333333333333333,0.05,17.579682189767613,3
8,9,10,60,59.14418840408325,306.1332057901733,50322.256172755624,92.46261006649601,0.0,0.0,4.7,0.0,9.722604941673554,10
8,10,11,60,59.1487512588501,325.12943368559405,45962.525702404026,88.99210656496919,0.0,0.0,5.366666666666666,0.15,7.1851749793331505,8
8,11,12,59,58.150641679763794,268.5610949231306,37211.42084581705,87.80655100738433,0.0,0.0,6.237288135593221,0.13559322033898305,14.622322066591629,4
8,12,13,60,59.155921936035156,386.9604132744624,8690.423260681857,87.83416248610104,0.0,0.0,6.583333333333333,0.0,16.520161660696242,4
